equihash_params,miners,sol_per_sec,target_spacing,propagation_delay,pow_profile,seed,mean,p10,p50,p90,p99,orphans,orphan_rate,efficiency,convergence_height
common,10,2.992480350,75,0.500000,mainnet,1,137.430238,14.614835,94.443666,316.944316,623.399883,33,0.003300000,0.996710854,146
common,10,2.992480350,75,0.500000,mainnet,2,136.562455,14.669624,92.890701,316.886699,624.192395,34,0.003400000,0.996611521,102
common,10,2.992480350,75,0.500000,mainnet,3,137.111506,14.402474,96.135744,315.764440,594.068478,30,0.003000000,0.997008973,56
common,10,2.992480350,75,0.500000,mainnet,4,137.483658,14.600338,96.618453,316.235511,612.977443,32,0.003200000,0.996810207,72
common,10,2.992480350,75,0.500000,mainnet,5,138.513059,14.355342,95.654011,315.247808,623.441345,34,0.003400000,0.996611521,157
common,10,2.992480350,75,0.500000,mainnet,6,136.335666,14.340095,94.413551,315.609975,603.365332,33,0.003300000,0.996710854,332
common,10,2.992480350,75,0.500000,mainnet,7,137.932118,14.995091,95.837672,316.772006,632.196197,20,0.002000000,0.998003992,36
common,10,2.992480350,75,0.500000,mainnet,8,136.136363,14.026786,95.507591,310.831750,622.259449,37,0.003700000,0.996313640,221
common,10,2.992480350,75,0.500000,mainnet,9,137.070673,14.922738,91.749843,319.793243,626.387929,28,0.002800000,0.997207818,40
common,10,2.992480350,75,0.500000,mainnet,10,136.440330,14.087039,94.805967,312.420669,628.678369,28,0.002800000,0.997207818,55
common,10,2.992480350,75,0.500000,mainnet,11,135.779846,14.276888,93.438508,312.492413,645.526468,41,0.004100000,0.995916741,104
common,10,2.992480350,75,0.500000,mainnet,12,138.222695,14.192126,95.079340,321.945602,629.940348,36,0.003600000,0.996412914,166
common,10,2.992480350,75,0.500000,mainnet,13,134.729036,13.984541,93.576272,310.593071,619.926024,33,0.003300000,0.996710854,108
common,10,2.992480350,75,0.500000,mainnet,14,136.955152,15.054979,96.463998,314.894335,633.481366,32,0.003200000,0.996810207,113
common,10,2.992480350,75,0.500000,mainnet,15,136.292241,14.807049,93.734581,312.060446,619.809253,45,0.004500000,0.995520159,30
common,10,2.992480350,75,0.500000,mainnet,16,138.849871,14.402961,98.217296,322.948670,627.368222,30,0.003000000,0.997008973,146
common,10,2.992480350,75,0.500000,mainnet,17,135.577043,14.426790,94.615909,310.516918,613.779924,37,0.003700000,0.996313640,254
common,10,2.992480350,75,0.500000,mainnet,18,137.704070,13.972968,95.581339,318.343201,638.549580,24,0.002400000,0.997605746,297
common,10,2.992480350,75,0.500000,mainnet,19,137.841725,14.659414,95.428333,317.374857,633.646489,23,0.002300000,0.997705278,69
common,10,2.992480350,75,0.500000,mainnet,20,137.297489,14.810815,96.478157,310.442462,615.666156,35,0.003500000,0.996512207,163
common,10,2.992480350,75,0.500000,mainnet,21,135.844952,13.744317,94.141139,312.847099,610.702874,31,0.003100000,0.996909580,392
common,10,2.992480350,75,0.500000,mainnet,22,135.841162,14.344872,92.778133,315.813261,628.030462,25,0.002500000,0.997506234,114
common,10,2.992480350,75,0.500000,mainnet,23,137.961004,15.356455,96.486585,316.833752,648.286676,29,0.002900000,0.997108386,83
common,10,2.992480350,75,0.500000,mainnet,24,137.040575,14.379563,94.521822,318.067202,625.945218,42,0.004200000,0.995817566,143
common,10,2.992480350,75,0.500000,mainnet,25,135.803219,14.008408,93.669720,311.846824,605.619078,28,0.002800000,0.997207818,206
common,10,2.992480350,75,0.500000,mainnet,26,137.727804,14.457848,95.128410,318.303471,613.823941,30,0.003000000,0.997008973,490
common,10,2.992480350,75,0.500000,mainnet,27,137.674658,14.300769,96.088950,317.613249,615.104302,33,0.003300000,0.996710854,20
common,10,2.992480350,75,0.500000,mainnet,28,136.128721,14.068487,94.327980,316.981301,617.079527,24,0.002400000,0.997605746,125
common,10,2.992480350,75,0.500000,mainnet,29,136.996708,14.364618,95.107222,319.955641,616.188429,40,0.004000000,0.996015936,134
common,10,2.992480350,75,0.500000,mainnet,30,140.735763,14.545515,97.973484,321.202373,638.457745,34,0.003400000,0.996611521,218
common,10,2.992480350,75,0.500000,mainnet,31,137.490162,14.540308,95.166809,322.275082,641.753967,37,0.003700000,0.996313640,102
common,10,2.992480350,75,0.500000,mainnet,32,134.982623,13.674059,93.938080,311.715223,601.113666,35,0.003500000,0.996512207,208
common,10,2.992480350,75,0.500000,mainnet,33,137.437764,15.031016,93.897303,317.842271,626.088330,31,0.003100000,0.996909580,17
common,10,2.992480350,75,0.500000,mainnet,34,134.517332,14.131944,92.970878,307.320927,625.143240,31,0.003100000,0.996909580,82
common,10,2.992480350,75,0.500000,mainnet,35,138.579029,15.111717,97.365664,317.557666,638.658400,31,0.003100000,0.996909580,24
common,10,2.992480350,75,0.500000,mainnet,36,134.284762,13.838369,93.247427,306.318583,629.958034,39,0.003900000,0.996115151,36
common,10,2.992480350,75,0.500000,mainnet,37,138.553503,14.722419,95.288309,320.773370,636.648186,26,0.002600000,0.997406742,106
